,0
0,HyundaiElitei20Sportz(O)1.4CRDi
1,MarutiErtigaZXISMARTHYBRID
2,MarutiVitaraBrezzaLDI
3,FordEcosport1.5TITANIUMTIVCT
4,HyundaiVernaFLUIDIC1.4CRDI
5,HyundaiElitei20MAGNA1.4
6,HyundaiVernaFLUIDIC1.6CRDISX
7,SkodaLauraELEGANCE2.0TDICR
8,VolkswagenVentoHIGHLINE
9,MarutiSCrossZETA
10,DatsunRediGoT
11,HondaAmaze1.5EMTI
12,MarutiBalenoDELTA1.2K12
13,MarutiDzireVXI
14,MarutiWagonR
15,HyundaiGrandi10SPORTZ(O)1.2AT
16,RenaultDuster85PSRXL
17,RenaultDusterRXZAMT110
18,HondaAmaze1.5EXMTI
19,HondaCivic1.8S
20,SkodaRapidELEGANCE1.6TDI
21,ToyotaCorollaH21.8
22,HyundaiXcentSX1.1
23,MarutiRitzVXI
24,HyundaiGrandi10SPORTZ1.2KAPPA
25,MarutiSwiftDzireLXI1.2BS
26,FordFigo1.2ZXI
27,ToyotaInnovaCrysta2.4VX7
28,VolkswagenVentoCOMFORTLINE
29,NissanTerranoXL110
30,HyundaiVENUE1.0LTurboGDISX
31,MarutiSwiftDzireVXIRegalLimited
32,HondaMobilio1.5VI
33,VolkswagenJettaTRENDLINE2.0L
34,Hyundaii10SPORTZ
35,HyundaiTucsonNew2WDATGLS
36,MarutiAltoK10VXI
37,VolkswagenPoloCOMFORTLINE1.2L
38,NissanTerranoXLPLUS85PS
39,HyundaiElitei20ASTA1.2
40,MarutiIGNISDELTA1.2
41,SkodaSuperb1.8TSISTYLE
42,BMWX1SDRIVE
43,MarutiWagonR1.0
44,FiatGrandPuntoACTIVE
45,HondaCity1.5EMT
46,FordEcosport
47,MahindraScorpioSLEBS
48,SkodaRapid1.5TDIAT
49,SkodaSuperbELEGANCETDI2.0
50,MarutiCelerio
51,MercedesBenzEClassE250
52,HyundaiGrandi10SPORTZ1.1CRDISPECIAL
53,SkodaSuperbELEGANCE1.8TSI
54,HyundaiElitei20ERA
55,HondaAmaze1.5VXMTI
56,MarutiNewWagon-RLXI1.0
57,HyundaiEonMAGNA
58,MahindraKuv100K46
59,HyundaiCreta1.4S
60,FordEcosport1.0ECOBOOST
61,MarutiRitz
62,Hyundaii10ERA1.1
63,SkodaRapid1.5ACTIVETDI
64,HyundaiElitei20MAGNA
65,MarutiDzireVDI
66,ToyotaCorollaHE1.8
67,SsangyongRexton
68,MarutiSwiftDzireVXI1.2BS
69,MarutiCelerioZXIOPT
70,HyundaiCreta1.6SXPLUSAUTO
71,FordEcosport1.5AMBIENTE
72,MahindraMARAZZOM87
73,HyundaiSantroXingGL
74,ChevroletSparkLS
75,HyundaiElitei20ASTA
